Gene ID	pathway_id	Pathway	Activity	
PF3D7_0818900	cell_cycle	Proteins predicted to be involved in cell cycle regulatory network	heat shock protein 70	
PF3D7_0818900	prot_ATP	Proteins with ATPase activity	heat shock protein 70	
PF3D7_0818900	gluth_prot	S-Glutathionylated proteins	heat shock protein 70	
PF3D7_0818900	phosph_treeck	Phosphoproteome - Treeck et al 2011	heat shock protein 70	
PF3D7_0818900	iRBC_prots	Parasite encoded proteins associated with the membrane of infected erythrocytes	heat shock protein 70	
PF3D7_0818900	Acet_prot	Lysine acetylated proteins	heat shock protein 70	
PF3D7_0818900	SEP_prot	Top ranked surface exposed proteins	heat shock protein 70	
PF3D7_0818900	highest_mRNA	Highest expressed genes based on mRNA abundance	heat shock protein 70	
PF3D7_0818900	prot_rupt	Proteins released from infected cells during rupture	heat shock protein 70	
PF3D7_0818900	prot_prot_traf	Genes coding for protein traffic related proteins	heat shock protein 70	
PF3D7_0818900	exportome	Exportome - compiled from various sources	heat shock protein 70	
PF3D7_0818900	hsp70_loc	Location and function of the six HSP70s in infected erythrocytes	heat shock protein 70	
PF3D7_0818900	HNE_prot	4-hydroxynonenal-modified proteins	heat shock protein 70	
PF3D7_0818900	phospoprot	Phosphoproteome	heat shock protein 70	
PF3D7_0818900	Pf_chaperones	Genes coding for chaperones and their regulators	heat shock protein 70	
PF3D7_0818900	DRM_prot	Proteins of detergent-resistant membranes	heat shock protein 70	
PF3D7_0818900	centrosome	Centrosome proteins	heat shock protein 70	
PF3D7_0818900	chaperone	Chaperone network and protein quality control of the mitochondrion	heat shock protein 70	
PF3D7_0818900	nitrosylatedProt	S-nitrosylated proteins	heat shock protein 70	
PF3D7_0818900	Hsp_40_70	Localization and function of some Hsp40s and Hsp70s	heat shock protein 70	
PF3D7_0818900	ART_prot_Prot	The ART proteome	heat shock protein 70	
PF3D7_0818900	transl_regul	Transcripts translationally regulated in asexual blood stages	heat shock protein 70	
PF3D7_0818900	eukaryotes	Posttranslational translocation in eukaryotes	heat shock protein 70	
PF3D7_0818900	importMito	Import of proteins into the mitochondrion	heat shock protein 70	
PF3D7_0818900	phosph_Pease	Phosphoproteome - Pease et al 2013	heat shock protein 70	
PF3D7_0818900	ProteasomeMeditated	Proteasome-mediated degradation of non-native ER proteins	heat shock protein 70	
PF3D7_0818900	nucle_prote	Nuclear proteome	heat shock protein 70	
PF3D7_0818900	ribos_qual_contr	Assembly factors and their roles in quality control during ribosome maturation	heat shock protein 70	
PF3D7_0818900	exosome	Components of exosomes	heat shock protein 70	
PF3D7_0818900	prot_protease	Protein-protein associations involving proteases	heat shock protein 70	
PF3D7_0818900	coli_orth	Functional orthologs of known cell cycle proteins in E. coli	heat shock protein 70	
PF3D7_0818900	hsp70_cyc	The HSP70 chaperone cycle	heat shock protein 70	
PF3D7_0818900	chap_cytos	Organization of chaperone pathways in the cytosol	heat shock protein 70	
PF3D7_0818900	redoxReg	Proteins targeted by the thioredoxin superfamily enzymes	heat shock protein 70	
PF3D7_0818900	phospho_mero	Phosphoproteome of the merozoite	heat shock protein 70	
PF3D7_0818900	Phtase_1	Interactome of the Ser/Thr Protein Phosphatase type 1	heat shock protein 70	
PF3D7_0818900	arg_meth	Arginine-methylated proteins	heat shock protein 70	
PF3D7_0818900	HSP_DnaJ	Hsp70 machinery interacts with J-domains	heat shock protein 70	
PF3D7_0818900	Hsp90	The chaperone cycle of Hsp90	heat shock protein 70	
PF3D7_0818900	HDAC_inter	Interactions of HDAC1 with other proteins	heat shock protein 70	
PF3D7_0818900	phosphopr	The phosphoproteome of Plasmodium falciparum infected RBCs	heat shock protein 70	
PF3D7_0818900	MCprot	Established and putative Maurer's clefts proteins	heat shock protein 70	
PF3D7_0818900	microves	Proteins of erythrocyte-derived microvesicles	heat shock protein 70	
PF3D7_0818900	60S_matur	Pathway for Cytoplasmic 60S maturation	heat shock protein 70	
PF3D7_0818900	lys_met	Peptides with confirmed methylated lysine residues	heat shock protein 70	
PF3D7_0818900	CQ_redox_drug	Redox-proteome changes induced by chloroquine across the intraerythrocytic stages of P. falciparum Dd2	heat shock protein 70	
PF3D7_0818900	most_abund	The 35 most abundant proteins	heat shock protein 70	
PF3D7_0818900	spindle_kinesin	Control of the mitotic spindle organization by kinesins	heat shock protein 70	
PF3D7_0818900	palmito	Total palmitome of Plasmodium falciparum	heat shock protein 70	
PF3D7_0818900	spindle_length	Effect of different motors on spindle length	heat shock protein 70	
PF3D7_0818900	Ubiq_conj	Plasmodium ubiquitin-protein conjugates	heat shock protein 70	
PF3D7_0818900	GlcNAcylate	O-GlcNAcylated proteins identified by mass spectrometry	heat shock protein 70	
PF3D7_0819100	Tafenoq_transc	Tafenoquine - effect of drug on gene transcription	BRIX domain, putative	
PF3D7_0819100	Doxyc_transc	Doxycycline - effect of drug on gene transcription	BRIX domain, putative	
PF3D7_0819100	Ribosomegenes	Genes coding for components involved in ribosome assembly	BRIX domain, putative	
PF3D7_0819100	gene_lumef	Gene expression affected by lumefantrine	BRIX domain, putative	
PF3D7_0819100	gene_coma	Genes for which expression is significantly correlated with coma score	BRIX domain, putative	
PF3D7_0819100	crt_mdr_GEN	Genes whose expression is highly positively or negatively correlated with pfcrt or pfmdr1	BRIX domain, putative	
PF3D7_0819100	riboMaturation	Maturation and export of 60S and 40S ribosomal subunits	BRIX domain, putative	
PF3D7_0819200	transl_regul	Transcripts translationally regulated in asexual blood stages	perforin-like protein 5	
PF3D7_0819200	Perf1	Role of perforin 1 in merozoite egress	perforin-like protein 5	
PF3D7_0819400	artemis_transc	Artemisinin - effect of drug on gene transcription	perforin-like protein 4	
PF3D7_0819400	chloroq_transc	Chloroquine - effect of drug on gene transcription	perforin-like protein 4	
PF3D7_0819400	Chloram_transc	Chloramphenicol - effect of drug on gene transcription	perforin-like protein 4	
PF3D7_0819400	Methotrex_transc	Methotrexate - effect of drug on gene transcription	perforin-like protein 4	
PF3D7_0819400	Perf1	Role of perforin 1 in merozoite egress	perforin-like protein 4	
PF3D7_0819500	PHIST	Exported proteins containing a PHIST domain	conserved protein, unknown function	
PF3D7_0819900	mRNAdeg	mRNA degradation	U6 snRNA-associated Sm-like protein LSm3, putative	
PF3D7_0819900	nucle_prote	Nuclear proteome	U6 snRNA-associated Sm-like protein LSm3, putative	
PF3D7_0819900	P_body	Encoded proteins that could be constituents of P-bodies	U6 snRNA-associated Sm-like protein LSm3, putative	
PF3D7_0819900	phospoprot	Phosphoproteome	U6 snRNA-associated Sm-like protein LSm3, putative	
PF3D7_0819900	phospho_mero	Phosphoproteome of the merozoite	U6 snRNA-associated Sm-like protein LSm3, putative	
PF3D7_0819900	RNA_DegFactors	RNA Degradation Factors	U6 snRNA-associated Sm-like protein LSm3, putative	
PF3D7_0819900	Lsm_RNA	Lsm proteins and RNA processing	U6 snRNA-associated Sm-like protein LSm3, putative	
PF3D7_0819900	U6_role	U6 snRNP role in pre-mRNA splicing	U6 snRNA-associated Sm-like protein LSm3, putative	
PF3D7_0819900	phosph_treeck	Phosphoproteome - Treeck et al 2011	U6 snRNA-associated Sm-like protein LSm3, putative	
PF3D7_0819900	hist_mrna	Histone mRNA degradation	U6 snRNA-associated Sm-like protein LSm3, putative	
PF3D7_0819900	splic_nons	Splicing and non-sense-mediated decay factors	U6 snRNA-associated Sm-like protein LSm3, putative	
PF3D7_0819900	exo-compl	Protein composition of affinity-purified exon and B-like complexes	U6 snRNA-associated Sm-like protein LSm3, putative	
PF3D7_0820000	chrom_remod	ATP-dependent chromatin remodeling complexes	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820000	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820000	phosphopr	The phosphoproteome of Plasmodium falciparum infected RBCs	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820000	transcr_prot	Transcription related proteins encoding genes	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820000	phospoprot	Phosphoproteome	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820000	nucle_prote	Nuclear proteome	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820000	phosph_Collins	Phosphoproteome - Collins et al 2014	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820000	chrom_mod_prot	Chromatin modifying proteins	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820000	phosph_treeck	Phosphoproteome - Treeck et al 2011	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820000	hist_chap	Histone chaperones	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820000	NucleoAssembly	Nucleosome assembly and regulation	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820000	helicases	Helicases	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820000	SWRI_HIRA	Synergism between SWR1, HIRA and FACT in histone variant exchange	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820000	transc_prot	Transcription associated proteins implicated in the transcriptional machinery	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820000	phosph_Pease	Phosphoproteome - Pease et al 2013	helicase SRCAP, putative Snf2-related CBP activator, putative	
PF3D7_0820100	RNA_prot	RNA binding proteins	RNA-binding protein, putative	
PF3D7_0820200	lys_met	Peptides with confirmed methylated lysine residues	phosphatidylglycerophosphate synthase	
PF3D7_0820200	PL_synth	Enzymes involved in glycerophospholipid synthesis	phosphatidylglycerophosphate synthase	
PF3D7_0820200	phserine	Phosphatidylethanolamine and phosphatidylserine metabolism	phosphatidylglycerophosphate synthase	
PF3D7_0820500	COPII	Classical COPII-mediated vesicular transport	protein transport protein YIF1, putative	
PF3D7_0820500	phosph_Pease	Phosphoproteome - Pease et al 2013	protein transport protein YIF1, putative	
PF3D7_0820500	palmito	Total palmitome of Plasmodium falciparum	protein transport protein YIF1, putative	
PF3D7_0820500	proteinsLocalizpath	Subcellular localization of proteins involved in invasion	protein transport protein YIF1, putative	
PF3D7_0820500	phosph_Collins	Phosphoproteome - Collins et al 2014	protein transport protein YIF1, putative	
PF3D7_0820500	phospho_mero	Phosphoproteome of the merozoite	protein transport protein YIF1, putative	
PF3D7_0820500	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	protein transport protein YIF1, putative	
PF3D7_0820500	phospoprot	Phosphoproteome	protein transport protein YIF1, putative	
PF3D7_0820500	phosphopr	The phosphoproteome of Plasmodium falciparum infected RBCs	protein transport protein YIF1, putative	
PF3D7_0820500	phosph_treeck	Phosphoproteome - Treeck et al 2011	protein transport protein YIF1, putative	
PF3D7_0820700	Acet_prot	Lysine acetylated proteins	2-oxoglutarate dehydrogenase E1 component	
PF3D7_0820700	thiaminemetpath	Thiamine metabolism	2-oxoglutarate dehydrogenase E1 component	
PF3D7_0820700	mitochondrTCAcycle	Mitochondrial TCA cycle	2-oxoglutarate dehydrogenase E1 component	
PF3D7_0820700	nuclearGenes	Nuclear genes with mitochondrial signal sequences	2-oxoglutarate dehydrogenase E1 component	
PF3D7_0820700	palmito	Total palmitome of Plasmodium falciparum	2-oxoglutarate dehydrogenase E1 component	
PF3D7_0820700	essent_gene	Essential metabolic genes	2-oxoglutarate dehydrogenase E1 component	
PF3D7_0820700	gluth_prot	S-Glutathionylated proteins	2-oxoglutarate dehydrogenase E1 component	
PF3D7_0821100	phosph_treeck	Phosphoproteome - Treeck et al 2011	protein kinase 1	
PF3D7_0821100	phosph_Pease	Phosphoproteome - Pease et al 2013	protein kinase 1	
PF3D7_0821100	hyperox	Effect of hyperoxia on gene expression	protein kinase 1	
PF3D7_0821100	Protein_kinases	Protein kinase coding genes	protein kinase 1	
PF3D7_0821100	gene_coma	Genes for which expression is significantly correlated with coma score	protein kinase 1	
PF3D7_0821100	phosphorylation	Protein phosphorylation	protein kinase 1	
PF3D7_0821100	Acet_prot	Lysine acetylated proteins	protein kinase 1	
PF3D7_0821100	phospoprot	Phosphoproteome	protein kinase 1	
PF3D7_0821300	Prot_protstre	Predicted protein-protein interactions of plausible stress helicases	ATP-dependent RNA helicase  dhx36, putative	
PF3D7_0821300	cAMP_stage	Differentially expressed genes in different stages treated with cAMP	ATP-dependent RNA helicase  dhx36, putative	
PF3D7_0821300	phosph_treeck	Phosphoproteome - Treeck et al 2011	ATP-dependent RNA helicase  dhx36, putative	
PF3D7_0821300	phospoprot	Phosphoproteome	ATP-dependent RNA helicase  dhx36, putative	
PF3D7_0821300	helicases	Helicases	ATP-dependent RNA helicase  dhx36, putative	
PF3D7_0821300	splicing	Splicing of pre-mRNA	ATP-dependent RNA helicase  dhx36, putative	
PF3D7_0821300	phosph_Pease	Phosphoproteome - Pease et al 2013	ATP-dependent RNA helicase  dhx36, putative	
PF3D7_0821300	phosphopr	The phosphoproteome of Plasmodium falciparum infected RBCs	ATP-dependent RNA helicase  dhx36, putative	
PF3D7_0821300	RNA_prot	RNA binding proteins	ATP-dependent RNA helicase  dhx36, putative	
PF3D7_0821500	prot_protease	Protein-protein associations involving proteases	ribosomal RNA small subunit methyltransferase NEP1, putative	
PF3D7_0821500	coli_orth	Functional orthologs of known cell cycle proteins in E. coli	ribosomal RNA small subunit methyltransferase NEP1, putative	
PF3D7_0821500	90S_proc	Architecture, Dynamic Formation, and Processing of the 90S Pre-ribosome during Early Ribosome Biogenesis	ribosomal RNA small subunit methyltransferase NEP1, putative	
PF3D7_0821500	riboMaturation	Maturation and export of 60S and 40S ribosomal subunits	ribosomal RNA small subunit methyltransferase NEP1, putative	
PF3D7_0821500	Ribosomegenes	Genes coding for components involved in ribosome assembly	ribosomal RNA small subunit methyltransferase NEP1, putative	
PF3D7_0821500	seve_uncom	Genes differentially expressed in severe malaria	ribosomal RNA small subunit methyltransferase NEP1, putative	
PF3D7_0821600	mRNA_processing	Protein factors in pre-mRNA 3'-end processing	polyribonucleotide 5'-hydroxyl-kinase clp1, putative	
PF3D7_0821600	RNA_export	The different RNA export pathways	polyribonucleotide 5'-hydroxyl-kinase clp1, putative	
PF3D7_0821600	Prot_protstre	Predicted protein-protein interactions of plausible stress helicases	polyribonucleotide 5'-hydroxyl-kinase clp1, putative	
PF3D7_0821600	snRNA_mat	Maturation of snRNAs requires nuclear and cytoplasmic regulatory steps	polyribonucleotide 5'-hydroxyl-kinase clp1, putative	
PF3D7_0821600	mRNAcleavage	Cleavage and polyadenylation of pre-mRNA	polyribonucleotide 5'-hydroxyl-kinase clp1, putative	
PF3D7_0821700	prot_protease	Protein-protein associations involving proteases	60S ribosomal protein L22, putative	
PF3D7_0821700	nucle_prote	Nuclear proteome	60S ribosomal protein L22, putative	
PF3D7_0821700	cel_cycle_prot	Cell cycle compartment assocation between P. falciparum cell cycle perturbed transcriptomes	60S ribosomal protein L22, putative	
PF3D7_0821700	ribosomeStruct	Ribosomal structure	60S ribosomal protein L22, putative	
PF3D7_0821700	Acet_prot	Lysine acetylated proteins	60S ribosomal protein L22, putative	
PF3D7_0821700	drCDC_unk	Network analysis of drCDC-UNK proteins and their potential protein interactions	60S ribosomal protein L22, putative	
PF3D7_0821800	sec61_transloc	ER Sec61 translocon	protein transport protein SEC61 subunit beta	
PF3D7_0821800	Trns_GPI	SRP independent translocation of GPI anchored proteins	protein transport protein SEC61 subunit beta	
PF3D7_0821800	SRPmTargeting	Signal recognition particle-mediated targeting of membrane and secretory proteins	protein transport protein SEC61 subunit beta	
PF3D7_0821800	phospho_mero	Phosphoproteome of the merozoite	protein transport protein SEC61 subunit beta	
PF3D7_0821800	phospoprot	Phosphoproteome	protein transport protein SEC61 subunit beta	
PF3D7_0821800	ProteasomeMeditated	Proteasome-mediated degradation of non-native ER proteins	protein transport protein SEC61 subunit beta	
PF3D7_0821800	phosph_Collins	Phosphoproteome - Collins et al 2014	protein transport protein SEC61 subunit beta	
PF3D7_0821800	Ub_ER	The ubiquitylation machineries of the ER for misfolded secretory proteins	protein transport protein SEC61 subunit beta	
PF3D7_0821800	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	protein transport protein SEC61 subunit beta	
PF3D7_0821800	eukaryotes	Posttranslational translocation in eukaryotes	protein transport protein SEC61 subunit beta	
PF3D7_0821800	ER_compl	Proteins and complexes that are involved in protein transport into the endoplasmic reticulum	protein transport protein SEC61 subunit beta	
PF3D7_0822000	nuclearGenes	Nuclear genes with mitochondrial signal sequences	mitochondrial ribosomal protein L4 precursor, putative	
PF3D7_0822000	targ_pred	Drug-target associations predicted for P. falciparum	mitochondrial ribosomal protein L4 precursor, putative	
PF3D7_0822000	genescodmit	Genes coding for mitochondrial ribosome subunits	mitochondrial ribosomal protein L4 precursor, putative	
PF3D7_0822000	cAMP_stage	Differentially expressed genes in different stages treated with cAMP	mitochondrial ribosomal protein L4 precursor, putative	
PF3D7_0822000	org_ribos_prot	Organellar ribosomal proteins	mitochondrial ribosomal protein L4 precursor, putative	
PF3D7_0822100	transc_prot	Transcription associated proteins implicated in the transcriptional machinery	mediator of RNA polymerase II transcription subunit 7, putative	
PF3D7_0822100	RNApolyII	RNA polymerase II transcribes mRNA	mediator of RNA polymerase II transcription subunit 7, putative	
PF3D7_0822100	PQS	P. falciparum genes harboring G-quadruplexes	mediator of RNA polymerase II transcription subunit 7, putative	
PF3D7_0822100	transcr_prot	Transcription related proteins encoding genes	mediator of RNA polymerase II transcription subunit 7, putative	
PF3D7_0822100	mediator	Transcriptional mediator complex	mediator of RNA polymerase II transcription subunit 7, putative	
PF3D7_0822200	RNApolyII	RNA polymerase II transcribes mRNA	phosphorylated ctd interacting factor 1 ww domain-containing protein, putative	
PF3D7_0822200	mediator	Transcriptional mediator complex	phosphorylated ctd interacting factor 1 ww domain-containing protein, putative	
PF3D7_0822300	splic_exo	Mechanisms of alternative splicing regulation at the transition from exon definition to intron definition	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	hyperox	Effect of hyperoxia on gene expression	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	exo-compl	Protein composition of affinity-purified exon and B-like complexes	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	splic_nons	Splicing and non-sense-mediated decay factors	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	Ribosomegenes	Genes coding for components involved in ribosome assembly	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	splicing	Splicing of pre-mRNA	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	splic_regu	Genomic landscape of splicing regulators	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	prot_protease	Protein-protein associations involving proteases	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	exo-def	Exon definition during the earliest stages of spliceosome assembly	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	splic_dynam	Spliceosome dynamics during the catalytic steps	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	AM_assembl	Assisted assembly of Sm-class snRNPs	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	alt_splic_regul	Regulators of alternative splicing	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	splic_path	Schematic representation of the spliceosome pathway in yeast	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	Prp8	Assembly and recycling of spliceosome components with respect to Prp8	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	Alt-Splic	Mechanisms of alternative splicing by splice site selection	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	snRNA_mat	Maturation of snRNAs requires nuclear and cytoplasmic regulatory steps	small nuclear ribonucleoprotein G, putative	
PF3D7_0822300	U6_role	U6 snRNP role in pre-mRNA splicing	small nuclear ribonucleoprotein G, putative	
PF3D7_0822500	flagel	Putative flagellar proteins	leucine-rich repeat protein dynein light chain 1	
PF3D7_0822500	mitoticCentro	Structure of the mitotic centrosome	leucine-rich repeat protein dynein light chain 1	
PF3D7_0822500	centrosome	Centrosome proteins	leucine-rich repeat protein dynein light chain 1	
PF3D7_0822500	Kinetochore	Kinetochores power chromosome movements in mitosis	leucine-rich repeat protein dynein light chain 1	
PF3D7_0822500	organizKinetochore	Putative organization of the kinetochore	leucine-rich repeat protein dynein light chain 1	
PF3D7_0822500	prot_ATP	Proteins with ATPase activity	leucine-rich repeat protein dynein light chain 1	
PF3D7_0822500	molecularMotor	Molecular motor prototypes	leucine-rich repeat protein dynein light chain 1	
PF3D7_0822500	microtubuleDynam	Regulation of spindle microtubule dynamics	leucine-rich repeat protein dynein light chain 1	
PF3D7_0822600	MCprot	Established and putative Maurer's clefts proteins	protein transport protein SEC23	
PF3D7_0822600	SEP_prot	Top ranked surface exposed proteins	protein transport protein SEC23	
PF3D7_0822600	RBC_memb_remodel	Characteristics of Plasmodium falciparum export proteins that remodel infected erythrocyte	protein transport protein SEC23	
PF3D7_0822600	COPII	Classical COPII-mediated vesicular transport	protein transport protein SEC23	
PF3D7_0822600	prot_prot_traf	Genes coding for protein traffic related proteins	protein transport protein SEC23	
PF3D7_0822600	prot_ATP	Proteins with ATPase activity	protein transport protein SEC23	
PF3D7_0822600	exportome	Exportome - compiled from various sources	protein transport protein SEC23	
PF3D7_0822700	linearMotor	Components of the linear motor responsible for merozoite motility in invasion	thrombospondin-related protein 1, putative	
PF3D7_0822800	splic_path	Schematic representation of the spliceosome pathway in yeast	U5 small nuclear ribonucleoprotein 40 kda protein, putative	
PF3D7_0822800	U6_role	U6 snRNP role in pre-mRNA splicing	U5 small nuclear ribonucleoprotein 40 kda protein, putative	
PF3D7_0822800	splic_dynam	Spliceosome dynamics during the catalytic steps	U5 small nuclear ribonucleoprotein 40 kda protein, putative	
PF3D7_0822800	exo-compl	Protein composition of affinity-purified exon and B-like complexes	U5 small nuclear ribonucleoprotein 40 kda protein, putative	
PF3D7_0822800	WDR-gen	PfWDR genes	U5 small nuclear ribonucleoprotein 40 kda protein, putative	
PF3D7_0822800	Atg8_12	The Atg8 and Atg12 ubiquitin-like conjugation systems	U5 small nuclear ribonucleoprotein 40 kda protein, putative	
PF3D7_0822800	exo-def	Exon definition during the earliest stages of spliceosome assembly	U5 small nuclear ribonucleoprotein 40 kda protein, putative	
PF3D7_0822800	Prp8	Assembly and recycling of spliceosome components with respect to Prp8	U5 small nuclear ribonucleoprotein 40 kda protein, putative	
PF3D7_0822800	ATG_Autop	The ATG autophagic pathway	U5 small nuclear ribonucleoprotein 40 kda protein, putative	
PF3D7_0822800	splic_exo	Mechanisms of alternative splicing regulation at the transition from exon definition to intron definition	U5 small nuclear ribonucleoprotein 40 kda protein, putative	
PF3D7_0822800	splicing	Splicing of pre-mRNA	U5 small nuclear ribonucleoprotein 40 kda protein, putative	
PF3D7_0822800	splic_nons	Splicing and non-sense-mediated decay factors	U5 small nuclear ribonucleoprotein 40 kda protein, putative	
PF3D7_0822900	prot_rupt	Proteins released from infected cells during rupture	conserved Plasmodium protein, unknown function	
PF3D7_0822900	prot_protease	Protein-protein associations involving proteases	conserved Plasmodium protein, unknown function	
PF3D7_0823000	phospho_mero	Phosphoproteome of the merozoite	serine/threonine protein kinase vps15	
PF3D7_0823000	autoph_path	Autophagy and autophagy-related pathways	serine/threonine protein kinase vps15	
PF3D7_0823000	ATG_Autop	The ATG autophagic pathway	serine/threonine protein kinase vps15	
PF3D7_0823100	phosph_treeck	Phosphoproteome - Treeck et al 2011	RWD domain-containing protein, putative	
PF3D7_0823100	gene_coma	Genes for which expression is significantly correlated with coma score	RWD domain-containing protein, putative	
PF3D7_0823100	phospoprot	Phosphoproteome	RWD domain-containing protein, putative	
PF3D7_0823200	gene_coma	Genes for which expression is significantly correlated with coma score	RNA-binding protein, putative	
PF3D7_0823200	mRNA_prot	mRNA-binding proteins in trophozoite and schizonts	RNA-binding protein, putative	
PF3D7_0823200	Acet_prot	Lysine acetylated proteins	RNA-binding protein, putative	
PF3D7_0823200	phosph_Pease	Phosphoproteome - Pease et al 2013	RNA-binding protein, putative	
PF3D7_0823200	nucle_prote	Nuclear proteome	RNA-binding protein, putative	
PF3D7_0823200	nitrosylatedProt	S-nitrosylated proteins	RNA-binding protein, putative	
PF3D7_0823200	seve_uncom	Genes differentially expressed in severe malaria	RNA-binding protein, putative	
PF3D7_0823200	phospho_mero	Phosphoproteome of the merozoite	RNA-binding protein, putative	
PF3D7_0823200	RNA_prot	RNA binding proteins	RNA-binding protein, putative	
PF3D7_0823200	phospoprot	Phosphoproteome	RNA-binding protein, putative	
PF3D7_0823200	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	RNA-binding protein, putative	
PF3D7_0823200	phosph_Collins	Phosphoproteome - Collins et al 2014	RNA-binding protein, putative	
PF3D7_0823200	gluth_prot	S-Glutathionylated proteins	RNA-binding protein, putative	
PF3D7_0823200	phosph_treeck	Phosphoproteome - Treeck et al 2011	RNA-binding protein, putative	
PF3D7_0823300	phosph_Collins	Phosphoproteome - Collins et al 2014	histone acetyltransferase GCN5	
PF3D7_0823300	transc_prot	Transcription associated proteins implicated in the transcriptional machinery	histone acetyltransferase GCN5	
PF3D7_0823300	Interac_prot	Important interacting proteins	histone acetyltransferase GCN5	
PF3D7_0823300	phosph_Pease	Phosphoproteome - Pease et al 2013	histone acetyltransferase GCN5	
PF3D7_0823300	nitrosylatedProt	S-nitrosylated proteins	histone acetyltransferase GCN5	
PF3D7_0823300	phospoprot	Phosphoproteome	histone acetyltransferase GCN5	
PF3D7_0823300	transcr_prot	Transcription related proteins encoding genes	histone acetyltransferase GCN5	
PF3D7_0823300	Histone	Histone acetylation	histone acetyltransferase GCN5	
PF3D7_0823300	gate_mRNA	Gene gating and mRNA export	histone acetyltransferase GCN5	
PF3D7_0823300	gluth_prot	S-Glutathionylated proteins	histone acetyltransferase GCN5	
PF3D7_0823300	CCR4	CCR4 - NOT complex	histone acetyltransferase GCN5	
PF3D7_0823300	chrom_mod_prot	Chromatin modifying proteins	histone acetyltransferase GCN5	
PF3D7_0823300	phosph_treeck	Phosphoproteome - Treeck et al 2011	histone acetyltransferase GCN5	
PF3D7_0823300	his_bind_mod	Proteins containing histone post translational modification-binding modules	histone acetyltransferase GCN5	
PF3D7_0823300	phospho_mero	Phosphoproteome of the merozoite	histone acetyltransferase GCN5	
PF3D7_0823300	chrom_lands	Plasmodium falciparum chromatin landscape	histone acetyltransferase GCN5	
PF3D7_0823300	chromatin	Structure and organization of centromeric chromatin	histone acetyltransferase GCN5	
PF3D7_0823300	Acet_prot	Lysine acetylated proteins	histone acetyltransferase GCN5	
PF3D7_0823300	phosphopr	The phosphoproteome of Plasmodium falciparum infected RBCs	histone acetyltransferase GCN5	
PF3D7_0823300	prot_protease	Protein-protein associations involving proteases	histone acetyltransferase GCN5	
PF3D7_0823300	nucle_prote	Nuclear proteome	histone acetyltransferase GCN5	
PF3D7_0823300	chrom_remod	ATP-dependent chromatin remodeling complexes	histone acetyltransferase GCN5	
PF3D7_0823300	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	histone acetyltransferase GCN5	
PF3D7_0823300	coli_orth	Functional orthologs of known cell cycle proteins in E. coli	histone acetyltransferase GCN5	
PF3D7_0823300	metab_his	Effects of small metabolites on gene expression	histone acetyltransferase GCN5	
PF3D7_0823300	H3H4_Chap	Distinct H3/H4 - histone chaperone complexes are marked by specific H3/H4 posttranslational modifications	histone acetyltransferase GCN5	
PF3D7_0823400	Tafenoq_transc	Tafenoquine - effect of drug on gene transcription	alpha/beta hydrolase, putative	
PF3D7_0823400	chloroq_transc	Chloroquine - effect of drug on gene transcription	alpha/beta hydrolase, putative	
PF3D7_0823400	artemis_transc	Artemisinin - effect of drug on gene transcription	alpha/beta hydrolase, putative	
PF3D7_0823400	Methotrex_transc	Methotrexate - effect of drug on gene transcription	alpha/beta hydrolase, putative	
PF3D7_0823500	linearMotor	Components of the linear motor responsible for merozoite motility in invasion	inner membrane complex protein 1i	
